BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),SiteEnergyUse(kBtu),TotalGHGEmissions,number_of_activities,ratio_parking,ratio_building,ratio_dominant_use,building_age,supericie_by_building,superficie_by_activity
NonResidential,Other,2,DOWNTOWN,47.59809,-122.32283,1.0,4,11.195745921729424,13820,59000,14.513871436052098,3.8342776568032932,1,0.1897830266410327,0.8102169733589674,0.7964844822850865,106,14750.0,72820.0
NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,47.62614,-122.3467,1.0,4,11.996721046484348,14200,148022,15.888300149398006,5.431098477781855,2,0.08753436648543354,0.9124656335145664,0.700903699868082,20,37005.5,81111.0
SPS-District K-12,K-12 School,2,SOUTHEAST,47.57589,-122.29365,1.0,4,12.576214502171096,0,289588,15.992515647796836,5.1407274459732655,1,0.0,1.0,1.0,26,72397.0,289588.0
NonResidential,University,3,EAST,47.61495,-122.32177,1.0,3,11.056114429510476,0,63330,14.933846385833862,4.308514638737202,1,0.0,1.0,1.0235275540817939,101,21110.0,63330.0
Campus,University,1,DELRIDGE,47.547,-122.35307,27.0,2,12.996961139202666,0,441071,17.461005988362217,6.764150462214492,1,0.0,1.0,1.095061792772592,46,220535.5,441071.0
NonResidential,Small- and Mid-Sized Office,4,NORTHEAST,47.67828,-122.26456,1.0,2,11.475223597786217,0,96300,16.60789179715501,5.402767467904501,2,0.0,1.0,0.9584631360332295,14,48150.0,48150.0
Nonresidential COS,Other,2,GREATER DUWAMISH,47.59545,-122.32146,1.0,1,11.1177472647302,0,67356,15.827151931781898,5.318512073833556,4,0.0,1.0,1.014891026783063,66,67356.0,16839.0
SPS-District K-12,K-12 School,3,CENTRAL,47.60598,-122.30156,1.0,3,12.447146484170238,0,254523,16.42320798003547,5.883573053448023,1,0.0,1.0,1.0,8,84841.0,254523.0
SPS-District K-12,K-12 School,2,SOUTHEAST,47.51482,-122.25864,1.0,3,11.274719035978974,0,78804,14.731457230656856,4.039888376426042,1,0.0,1.0,1.0,15,26268.0,78804.0
SPS-District K-12,K-12 School,3,CENTRAL,47.61224,-122.29087,1.0,3,11.112358342124256,0,66994,14.678950783625648,3.7314599016490546,1,0.0,1.0,1.0,14,22331.333333333332,66994.0
SPS-District K-12,K-12 School,2,GREATER DUWAMISH,47.52915,-122.28904,1.0,3,11.496358995661653,0,98357,15.055660457950728,4.550080219670131,1,0.0,1.0,1.0,16,32785.666666666664,98357.0
NonResidential,Small- and Mid-Sized Office,2,GREATER DUWAMISH,47.53827,-122.28406,1.0,1,10.910806582757846,0,54765,15.263222050311454,4.114310574862978,2,0.0,1.0,0.4704647128640555,58,54765.0,27382.5
NonResidential,Other,2,GREATER DUWAMISH,47.53722,-122.284,1.0,5,11.40557407995762,0,89821,14.48338736531232,4.609759638321899,3,0.0,1.0,0.5175070417831019,7,17964.2,29940.333333333332
NonResidential,University,7,MAGNOLIA / QUEEN ANNE,47.65147,-122.36122,1.0,2,10.870680502337402,0,52611,15.230604088217328,4.64688777933996,1,0.0,1.0,1.0,36,26305.5,52611.0
NonResidential,Residence Hall,7,MAGNOLIA / QUEEN ANNE,47.65068,-122.36331,1.0,4,11.84653646931041,37500,102100,15.308096064072153,4.862831099327861,1,0.2686246418338109,0.7313753581661891,0.9707736389684813,15,25525.0,139600.0
